x,y,z,alpha,beta,gamma
-0.967602550983429,1.2778092622756958,0.30521172285079956,-0.012828862398982708,0.011027576399118484,3.0985641317011305
-0.968005895614624,1.2794820070266724,0.304056853055954,-0.0147915736689201,0.004792108679653464,3.1050988572595264
-0.9675024151802063,1.2778983116149902,0.3052566945552826,-0.012632775209463714,0.01108887336845511,3.0986777677455737
-0.9675294160842896,1.277896761894226,0.3052631616592407,-0.012762961981434279,0.011158530759098124,3.098611557726023
-0.9675387144088745,1.2779210805892944,0.30524903535842896,-0.012688321954666446,0.011125953121806689,3.098540857329075
-0.965865433216095,1.2785205841064453,0.3070925772190094,-0.029641879312636062,0.005408192923225956,3.101178138844722
-0.9659712314605713,1.278558611869812,0.30698323249816895,-0.029411739295859777,0.005299818811247139,3.100866716379514
-0.9659774899482727,1.2785594463348389,0.3069574534893036,-0.02952902134138913,0.005301812818433201,3.100610019276732
-0.9661515951156616,1.2785958051681519,0.3070225715637207,-0.027735093753329942,0.005136472492014807,3.0995549259185724
-0.9680755138397217,1.2795993089675903,0.30401870608329773,-0.015112464577488752,0.004395646825506662,3.105011626899574
-0.9680473208427429,1.2796000242233276,0.3041013777256012,-0.014252115996365231,0.004069563248118884,3.1048058606540323
-0.967340886592865,1.278024673461914,0.30526232719421387,-0.011520006603442202,0.010409130269690727,3.0989922282823072
-0.9679825901985168,1.2795590162277222,0.30418580770492554,-0.014189040535085776,0.004303131839467838,3.1047643408852035
-0.9680198431015015,1.2795002460479736,0.30409905314445496,-0.014959482562758851,0.004541919886266542,3.104942885231866
-0.9675182700157166,1.2779195308685303,0.305286705493927,-0.012915232898630337,0.010782670885703212,3.0986437598740464
-0.9675577282905579,1.2778899669647217,0.3052559792995453,-0.012609765929284629,0.010859711500587484,3.0986085970200943
-0.9673660397529602,1.277981162071228,0.30524367094039917,-0.01155637617479204,0.010574192366151968,3.099012622826393
-0.9675061106681824,1.2778851985931396,0.3052029013633728,-0.012713012315085048,0.011281150187844233,3.0985815837845725
-0.9661698341369629,1.2786343097686768,0.30705538392066956,-0.028477117466355853,0.004997222051058027,3.0994306277613664
-0.9667763710021973,1.2765830755233765,0.3063972294330597,-0.03105177728042828,0.0008023874043713453,3.0892119119316437
-0.9668824076652527,1.276469111442566,0.30632755160331726,-0.03256166319000702,0.0013287348921644032,3.088797526000036
-0.9668165445327759,1.2764313220977783,0.30630621314048767,-0.03273202974205731,0.0014373612745349875,3.0885664021875714
-0.9660842418670654,1.2785975933074951,0.3070142865180969,-0.029633153051942075,0.005281718585933631,3.100247182408937
-0.96624356508255,1.278663992881775,0.30707141757011414,-0.028285641755636873,0.004783053889397208,3.0990709095662345
-0.9679996371269226,1.2796554565429688,0.30420762300491333,-0.014322547131191842,0.0040422402312015855,3.1047744264812622
-0.9680509567260742,1.279586911201477,0.30405741930007935,-0.015423619529081566,0.004419042963745968,3.1050056601022304
-0.9679996371269226,1.2795721292495728,0.304094523191452,-0.013954534425186642,0.004250010599679588,3.1047555282632433
-0.9673523902893066,1.2780054807662964,0.3052428662776947,-0.011352357108217007,0.010468601000380669,3.0989224742880914
-0.9673233032226562,1.2780475616455078,0.30528175830841064,-0.011648371176516797,0.010243411081325536,3.0990913649720855
-0.9679850935935974,1.2795714139938354,0.30421003699302673,-0.013902269892037886,0.004269243505460053,3.104724360745758
-0.9680371284484863,1.2795480489730835,0.3041245639324188,-0.015202756746803135,0.004725551948702264,3.105048651045168
-0.9673556089401245,1.2780373096466064,0.3052425682544708,-0.011454059857427453,0.010562750221326621,3.0991284673104644
-0.9673535227775574,1.2780373096466064,0.30531635880470276,-0.011458350405735751,0.010520759031076191,3.0989491065080306
